height,c,L,size,attack_cost
1804000,0.8,100,3829357,4373
1804000,0.8,144,3804840,6298
1804000,0.8,192,3806225,8397
1804000,0.8,240,3865256,10496
1829000,0.2,100,729700,1093
1829000,0.2,144,783896,1574
1829000,0.2,192,848914,2099
1829000,0.2,240,937411,2624
1829000,0.35,100,994799,1913
1829000,0.35,144,1078543,2755
1829000,0.35,192,1142121,3674
1829000,0.35,240,1213428,4592
1829000,0.5,100,1438792,2733
1829000,0.5,144,1471399,3936
1829000,0.5,192,1510113,5248
1829000,0.5,240,1599744,6560
1829000,0.65,100,2164600,3553
1829000,0.65,144,2176295,5117
1829000,0.65,192,2206950,6822
1829000,0.65,240,2274480,8528
1829000,0.8,100,3888515,4373
1829000,0.8,144,3840031,6298
1829000,0.8,192,3837512,8397
1829000,0.8,240,3883666,10496
1854000,0.2,100,720916,1093
1854000,0.2,144,785171,1574
1854000,0.2,192,862090,2099
1854000,0.2,240,919355,2624
1854000,0.35,100,1017491,1913
1854000,0.35,144,1085674,2755
1854000,0.35,192,1134612,3674
1854000,0.35,240,1201527,4592
1854000,0.5,100,1447576,2733
1854000,0.5,144,1506834,3936
1854000,0.5,192,1524076,5248
1854000,0.5,240,1608339,6560
1854000,0.65,100,2156060,3553
1854000,0.65,144,2187330,5117
1854000,0.65,192,2235065,6822
1854000,0.65,240,2272339,8528
1854000,0.8,100,3859833,4373
1854000,0.8,144,3835072,6298
1854000,0.8,192,3869098,8397
1854000,0.8,240,3855472,10496
1879000,0.2,100,724387,1093
1879000,0.2,144,772483,1574
1879000,0.2,192,868922,2099
1879000,0.2,240,945274,2624
1879000,0.35,100,999246,1913
1879000,0.35,144,1074206,2755
1879000,0.35,192,1169748,3674
1879000,0.35,240,1199331,4592
1879000,0.5,100,1441043,2733
1879000,0.5,144,1474925,3936
1879000,0.5,192,1542376,5248
1879000,0.5,240,1603459,6560
1879000,0.65,100,2178319,3553
1879000,0.65,144,2193729,5117
1879000,0.65,192,2238780,6822
1879000,0.65,240,2312898,8528
1879000,0.8,100,3873418,4373
1879000,0.8,144,3832199,6298
1879000,0.8,192,3859204,8397
1879000,0.8,240,3883642,10496
1904000,0.2,100,729566,1093
1904000,0.2,144,790051,1574
1904000,0.2,192,860193,2099
1904000,0.2,240,938930,2624
1904000,0.35,100,1021938,1913
1904000,0.35,144,1070302,2755
1904000,0.35,192,1137351,3674
1904000,0.35,240,1218119,4592
1904000,0.5,100,1415722,2733
1904000,0.5,144,1504937,3936
1904000,0.5,192,1541699,5248
1904000,0.5,240,1597902,6560
1904000,0.65,100,2172762,3553
1904000,0.65,144,2196712,5117
1904000,0.65,192,2252499,6822
1904000,0.65,240,2296117,8528
1904000,0.8,100,3921596,4373
1904000,0.8,144,3835237,6298
1904000,0.8,192,3912262,8397
