,chaintip,c,L,m,N_a,protocol
374,1254000,0.34526325909139605,289.63406144969684,255.15948925647518,100.0,interactive
375,1279000,0.34501346326991933,289.8437616092841,255.5938793877558,100.0,interactive
376,1304000,0.3447690745353239,290.04921666706605,256.01961777681015,100.0,interactive
377,1329000,0.3445298745006718,290.2505918969445,256.4370382843368,100.0,interactive
378,1354000,0.34429565752440827,290.44804317031117,256.84645589426464,100.0,interactive
379,1379000,0.34406622974619694,290.64171765350454,257.2481681073673,100.0,interactive
380,1404000,0.3438414082117475,290.83175444191147,257.64245620877534,100.0,interactive
381,1429000,0.34362102007699136,291.01828513748694,258.02958642281794,100.0,interactive
382,1454000,0.34340490188315614,291.2014343756371,258.4098109669964,100.0,interactive
383,1479000,0.3431928988953241,291.38132030669027,258.78336901546953,100.0,interactive
384,1504000,0.3429848644979364,291.55805503657047,259.1504875812055,100.0,interactive
385,1529000,0.3427806596414837,291.7317450307453,259.51138232489757,100.0,interactive
386,1554000,0.34258015233528827,291.90249148505404,259.8662582978127,100.0,interactive
387,1579000,0.34238321718186104,292.07039066661895,260.21531062493915,100.0,interactive
388,1604000,0.3421897349488228,292.2355342276874,260.5587251340925,100.0,interactive
389,1629000,0.3419995921748299,292.39800949493554,260.89667893602825,100.0,interactive
390,1654000,0.3418126808063197,292.55789973650127,261.229340960064,100.0,interactive
391,1679000,0.34162889786224054,292.71528440876887,261.5568724492373,100.0,interactive
392,1704000,0.3414481451242297,292.8702393847148,261.8794274186177,100.0,interactive
