,height,c,L,size
14309,1004000,0.2,240,1023078
14308,1004000,0.2,240,1016978
14307,1004000,0.2,240,1030154
14306,1004000,0.2,240,1014050
14305,1004000,0.2,240,1019662
14304,1004000,0.2,240,1016978
14303,1004000,0.2,240,1023810
14302,1004000,0.2,240,1025518
14301,1004000,0.2,240,1024054
14300,1004000,0.2,240,1021614
14299,1004000,0.2,240,1016490
14298,1004000,0.2,240,1024298
14297,1004000,0.2,240,1027714
14296,1004000,0.2,240,1026250
14295,1004000,0.2,240,1023322
14294,1004000,0.2,240,1025274
14293,1004000,0.2,240,1025518
14292,1004000,0.2,240,1029178
14291,1004000,0.2,240,1029178
14290,1004000,0.2,240,1028446
14289,1004000,0.2,240,1025762
14288,1004000,0.2,240,1031618
14287,1004000,0.2,240,1026250
14286,1004000,0.2,240,1023810
14285,1004000,0.2,240,1024054
14284,1004000,0.2,240,1022346
14283,1004000,0.2,240,1026250
14282,1004000,0.2,240,1024054
14281,1004000,0.2,240,1026250
14280,1004000,0.2,240,1012342
14279,1004000,0.5,100,1530112
14278,1004000,0.5,100,1538164
14277,1004000,0.5,100,1538164
14276,1004000,0.5,100,1538164
14275,1004000,0.5,100,1522792
14274,1004000,0.5,100,1545972
14273,1004000,0.5,100,1534748
14272,1004000,0.5,100,1526452
14271,1004000,0.5,100,1538896
14270,1004000,0.5,100,1520352
14269,1004000,0.5,100,1522548
14268,1004000,0.5,100,1541580
14267,1004000,0.5,100,1534504
14266,1004000,0.5,100,1538164
14265,1004000,0.5,100,1519864
14264,1004000,0.5,100,1522792
14263,1004000,0.5,100,1523524
14262,1004000,0.5,100,1534016
14261,1004000,0.5,100,1531332
14260,1004000,0.5,100,1545240
14259,1004000,0.5,100,1545972
14258,1004000,0.5,100,1518644
14257,1004000,0.5,100,1528160
14256,1004000,0.5,100,1540604
14255,1004000,0.5,100,1521328
14254,1004000,0.5,100,1531576
14253,1004000,0.5,100,1531332
14252,1004000,0.5,100,1529380
14251,1004000,0.5,100,1531576
14250,1004000,0.5,100,1521816
14249,1004000,0.5,144,1580531
14248,1004000,0.5,144,1571747
14247,1004000,0.5,144,1575163
14246,1004000,0.5,144,1585167
14245,1004000,0.5,144,1571991
14244,1004000,0.5,144,1575895
14243,1004000,0.5,144,1582483
14242,1004000,0.5,144,1567111
14241,1004000,0.5,144,1574919
14240,1004000,0.5,144,1562231
14239,1004000,0.5,144,1591267
